Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_20 MA_57,0.4071911122764363,1.0036818594364227,0.010266134434576626,102.0,3166.0,4936.0,0.0
MA_20 MA_58,0.2770939953923996,1.1741033251394422,0.01032443688467899,94.0,3169.0,4936.0,0.0
MA_20 MA_59,0.23436301726250666,1.1367880917523707,0.01033342492902193,92.0,3169.0,4936.0,0.0
MA_20 MA_60,0.07039456695364651,1.076220897861579,0.01026488448769686,92.0,3167.0,4936.0,0.0
MA_20 MA_61,0.08046713471392733,0.8264398614587911,0.010340672510273277,92.0,3167.0,4936.0,0.0
MA_20 MA_62,0.09184860278167611,0.8602834246789255,0.010339964860781545,92.0,3166.0,4936.0,0.0
MA_20 MA_63,-0.01803615181339704,0.9376002288765193,0.010287478096695795,90.0,3159.0,4936.0,0.0
MA_20 MA_64,0.08381967206863244,1.3472687481929992,0.010314499813188077,88.0,3154.0,4936.0,0.0
MA_20 MA_65,0.07765512633454758,1.347786402121666,0.010314962059257745,86.0,3141.0,4936.0,0.0
MA_20 MA_66,0.08269805836862995,1.3261776261740046,0.01031505934385985,80.0,3144.0,4936.0,0.0
MA_20 MA_67,-0.037134371864249165,1.1647275844562115,0.01042293760831192,80.0,3145.0,4936.0,0.0
MA_20 MA_68,-0.05768447782247592,1.1472880863528108,0.010425151422296986,80.0,3154.0,4936.0,0.0
MA_20 MA_69,0.0005229952785690616,1.2405245043536755,0.010458708539554442,80.0,3146.0,4936.0,0.0
MA_20 MA_70,-0.057397617203595104,1.3174764083019306,0.010451829308634501,78.0,3146.0,4936.0,0.0
MA_20 MA_71,-0.05739761720359655,1.1967408723660005,0.010451829308634484,80.0,3143.0,4936.0,0.0
MA_20 MA_72,-0.029707719798905952,1.207084941218,0.010447805092180693,80.0,3148.0,4936.0,0.0
MA_20 MA_73,0.009914637544465485,1.209584497327422,0.010439623874152645,80.0,3144.0,4936.0,0.0
MA_20 MA_74,0.0021387277926100253,1.1118816680091563,0.010439335199778639,80.0,3152.0,4936.0,0.0
MA_20 MA_75,-0.055653196268141955,0.9242545346731585,0.010422147608713524,82.0,3147.0,4936.0,0.0
MA_20 MA_76,-0.14825738176099285,0.7508847509640508,0.010377037484156224,82.0,3142.0,4936.0,0.0
MA_20 MA_77,-0.14926707490562266,0.6674078765526672,0.010377028242418426,82.0,3137.0,4936.0,0.0
MA_20 MA_78,-0.06347891278192443,0.6374525467537362,0.010378901393519217,84.0,3138.0,4936.0,0.0
MA_20 MA_79,-0.06347891278192513,0.6505322452204254,0.010378901393519213,88.0,3136.0,4936.0,0.0
MA_20 MA_80,-0.06347891278192372,0.804029393531549,0.010378901393519222,84.0,3142.0,4936.0,0.0
MA_20 MA_81,-0.109495086410993,0.6777521330698073,0.010367777220451811,86.0,3137.0,4936.0,0.0
MA_20 MA_82,-0.13473647973047248,0.6950103214651784,0.010364069306532957,86.0,3140.0,4936.0,0.0
MA_20 MA_83,-0.1347364797304725,0.749829143218038,0.010364069306532954,84.0,3143.0,4936.0,0.0
MA_20 MA_84,-0.13473647973047187,0.8542217847375289,0.01036406930653295,84.0,3142.0,4936.0,0.0
MA_20 MA_85,-0.13574971997957447,0.9729421836142118,0.01036406064616397,86.0,3147.0,4936.0,0.0
MA_20 MA_86,-0.2111345226529252,1.0937306940664153,0.010333476676366334,84.0,3147.0,4936.0,0.0
MA_20 MA_87,-0.21113452265292443,1.0788216513163178,0.010333476676366339,86.0,3144.0,4936.0,0.0
MA_20 MA_88,-0.2992541570432276,0.9331679797504013,0.010389897400415894,80.0,3138.0,4936.0,0.0
MA_20 MA_89,-0.26830300918979183,0.872778664320067,0.010404472415535092,78.0,3137.0,4936.0,0.0
MA_20 MA_90,-0.1089814908851243,1.0051591506517594,0.010473953241671661,74.0,3158.0,4936.0,0.0
MA_20 MA_91,-0.01068992681458066,1.258861452324247,0.010524568531072328,72.0,3162.0,4936.0,0.0
MA_20 MA_92,0.052296372871663575,1.3139762096509604,0.010603779258173454,64.0,3171.0,4936.0,0.0
MA_20 MA_93,0.014860318330902253,1.3072060672821522,0.010650370654347287,66.0,3189.0,4936.0,0.0
MA_20 MA_94,-0.009694255643044212,1.3120097375725521,0.010660887929996256,66.0,3193.0,4936.0,0.0
MA_20 MA_95,-0.16801460483582112,1.3151666677679064,0.01071245963527826,64.0,3200.0,4936.0,0.0
MA_20 MA_96,0.0997303827526135,1.5818808524970311,0.010829613789277204,60.0,3210.0,4936.0,0.0
MA_20 MA_97,0.18295199221551053,1.632422625854141,0.01079417157404117,58.0,3214.0,4936.0,0.0
MA_20 MA_98,0.17711506547666328,1.703469221970614,0.01079405789958954,58.0,3214.0,4936.0,0.0
MA_20 MA_99,0.17711506547666328,1.6579853462229397,0.01079405789958954,58.0,3214.0,4936.0,0.0
MA_20 MA_100,0.24929008206093306,1.7548288061324113,0.010819425166945945,60.0,3222.0,4936.0,0.0
MA_21 MA_31,-0.02103326756225009,0.11604735198119887,0.009858117379024589,204.0,2923.0,4936.0,0.0
MA_21 MA_32,0.05527974934278284,0.19602074080607257,0.009934385360312173,198.0,2953.0,4936.0,0.0
MA_21 MA_33,0.004164333494591699,0.06755709955911371,0.009929188946505465,188.0,2967.0,4936.0,0.0
MA_21 MA_34,0.4500339023730531,0.25825640130744265,0.010156401212384066,180.0,2981.0,4936.0,0.0
MA_21 MA_35,0.5246864232774958,0.5316093336647159,0.01019716044657316,166.0,2985.0,4936.0,0.0
MA_21 MA_36,0.5442302219287805,0.4424755413516972,0.01019838123424491,160.0,2996.0,4936.0,0.0
MA_21 MA_37,0.331313379278094,0.36634274713405857,0.010439569868338694,164.0,2991.0,4936.0,0.0
MA_21 MA_38,0.382413209048256,0.6009537281869393,0.010450919915418475,164.0,2998.0,4936.0,0.0
MA_21 MA_39,0.5186458591302676,0.6540017886336285,0.010494131151996235,156.0,3003.0,4936.0,0.0
MA_21 MA_40,0.4614313715292091,0.8690017627835218,0.010536382573840191,152.0,3016.0,4936.0,0.0
MA_21 MA_41,0.6737132272603703,0.9659680691514918,0.010460617837738195,142.0,3037.0,4936.0,0.0
MA_21 MA_42,0.6737132272603711,0.7952842236279407,0.010460617837738204,130.0,3034.0,4936.0,0.0
MA_21 MA_43,0.5396462900212736,0.7927084003149121,0.010418016001611904,130.0,3035.0,4936.0,0.0
MA_21 MA_44,0.3948600359633997,1.0283850923060034,0.010192660375090406,130.0,3029.0,4936.0,0.0
MA_21 MA_45,0.39486003596339947,0.8993227267341675,0.010192660375090411,128.0,3042.0,4936.0,0.0
MA_21 MA_46,0.2588595088113831,0.7903203052976082,0.010275486250279324,128.0,3042.0,4936.0,0.0
MA_21 MA_47,0.25885950881138586,0.42311399421359375,0.01027548625027932,126.0,3044.0,4936.0,0.0
MA_21 MA_48,0.2897852595963846,0.5170379882692289,0.010215592180122808,118.0,3045.0,4936.0,0.0
MA_21 MA_49,0.27806039615183004,0.4522110290890333,0.010265199803111701,120.0,3048.0,4936.0,0.0
